Common_name,Species,location,date_first record,first record source
GIULIA REEF,EI,FOUR SEASONS HOUSE REEF,6/23/2024,FABIO BAVIERA
GIULIO,EI,Makadi Bay,12-05-2018,GianmatteoColombo - IDive
GIZMO,CM,Mashraba,10-2017,Peter Quintus
GLORIA,CM,Makadi Bay,10-04-2018,Ralph Hasselbach
GORGDT1EI,EI,Gorgonia North,01-04-2019,Eleonora Michelangeli - Miriam Tercon
GORGDT2CM,CM,GORGONIA,8/16/2021,Anita Tinè
GUINCHO,EI,SHARM EL RASHID,8/31/2023,Jeroen Joosten
Gunk1,CM,Abo Ghosun,10/30/2013,KoenCrabbe
GUUS,EI,Egla,30-06-2018,Mariska van der Paauw - MM
HABAL1 EI,EI,Abili Ali,21-06-2014,Mariska van der Paauw - MM
HAJAR,CM,TONDOBA,5/10/2024,Valeria Roma
HALHALA 1,CM,Um Hal Hala,19-12-2016,AbDAllah Taher - MM
HALO ,CM,MARSA NAKARI,4/10/2025,Sarah O'Gorman
Hammer,CM,Abu Dabbab,7/24/2011,HEPCA catalogue 2012
HAMSIN,EI,Lahami Bay,17-07-2018,SABINA M. HORN - Sahra El Gohary - Mohamed El Gohary
HAMZA,EI,Elphinstone,03-03-2016,Abdallah Taher - MM
HANNELORE,CM,SHAMS SAFAGA,3/14/2022,Benjamin Gundacker
HANNELORE2,CM,MARSA SHOUNA,1/8/2025,DOREen Hofmann
HANNY,EI,Marsa Shona,12-05-2018,Cristophe Colliard - FB
HAPPY,CM,MAKADI BAY,8/18/2019,Ashraf Sanad
HARDY,CM,MARSA MUBARAK,2/27/2025,Volker Wollert
HARRY,CM,Shams Alam,08-05-2018,Grzeszczuk Anna 
HATHOR,CM,TONDOBA,9/6/2020,MICOL MONTAGNA
Heba,CM,Abu Dabbab,7/16/2011,HEPCA catalogue 2012
HECTRA,EI,MASBAT BAY,8/20/2008,NINA MILTON
HEDWIG,EI,"Sha'ab Sharm, Habili Dahara",28-06-2018,KATRIN ESTER - WAGI
HEIDI,CM,MARSA MUBARAK,24/10/2023,Volker Wollert
HEIKE,CM,GORGONIA HOUSE REEF,9/16/2024,Jacqueline Geh
HELA,CM,MARSA ABU DABBAB,26-1-2012,AGNESE MANCINI
HELADT1EI ,EI,El Helal - beach,22-03-2019,WeraVanDillen - SUBEX DC
Hélène,EI,SH'AB CLAUDE,7/5/2023,Christian Facci
HELMUTE,CM,MARSA ABU DABBAB,6/22/2021,Elke Bojanowski
Helmy,EI,Marsa Shagra,26-09-2011,HEPCA catalogue 2012
HENRY,CM,MAKADI HOUSE REEF,07-08-2020,NICOLE LINDEGGER
Her2 EI,EI,Hermes ,19-02-2018,Ruud Van Den Berg-MM
Her4 EI,EI,Hermes ,01-09-2017,Thomas Vanpuymbroeck
Her5 EI,EI,Abu Dabbab - Hermes ,01-05-2015,iVANA Zimova - FB
HER6 EI,EI,Hermes ,07-04-2018,Abdallah Taher - MM
HER7 EI,EI,Hermes ,29-10-2017,Ruud Van Den Berg-MM
HER8 EI,EI,Hermes ,16-09-2018,AT
HERBERT,EI,Ben El Gebel,13-08-2014,Haibert Rodebusch- ILIO
HERMA,CM,HERMES,6/10/2024,CHRISTINE DE CLERCQ
HERMES,CM,Hermes ,14-03-2018,Abdallah Taher - MM
HERMIONE,EI,Marsa Mubarak,11-05-2018,Julie Buttle - FB
HILDE,EI,Gota Kebir,24-06-2018,KATRIN ESTER - HAMATA MANGROVES
HONEY,CM,Abu Dabbab,7/20/2017,Micol M
Hope,CM,Abu Dabbab,8/24/2011,HEPCA catalogue 2012
HORREYA,CM,MARSA SHAGRA,11/9/2023,FLAVIA BARTH - RSDS
HOSNA,EI,Thistlegorm,17-07-2004,MARTINA BALZAROVA
HUFFY,EI,Marsa Nakari,22-08-2016,Lesley Hufnagel - RSDS
HUGGY,EI,Blue Hole,02-03-2019,Serena Zappella - H2OD
Hunk1,CM,Hermes ,8/6/2017,Abdallah Taher - MM
HUNK18,CM,Hermes ,29-08-2018,ABDAllah Taher - MM
HUNK19,CM,Hermes ,09-09-2018,AbDAllah Taher - MM
HUNK20,CM,"Hermes, aBU Dabbab",02-05-2019,AbDAllah Taher - MM
HUNK21,CM,Hermes,30-08-2019,AbDAllah Taher - MM
HUNK22,CM,Hermes,30-08-2019,AbDAllah Taher - MM
